"";"ensembl_transcript_id_version";"ensembl_gene_id"
"37";"ENSDART00000063138.6";"ENSDARG00000043002"
"38";"ENSDART00000064968.5";"ENSDARG00000044251"
"39";"ENSDART00000065139.5";"ENSDARG00000044457"
"40";"ENSDART00000066782.7";"ENSDARG00000045415"
"41";"ENSDART00000066834.5";"ENSDARG00000045443"
"42";"ENSDART00000067423.5";"ENSDARG00000045873"
"43";"ENSDART00000067621.6";"ENSDARG00000031836"
"44";"ENSDART00000074781.5";"ENSDARG00000052851"
"45";"ENSDART00000075782.7";"ENSDARG00000008100"
"46";"ENSDART00000076687.4";"ENSDARG00000054533"
"47";"ENSDART00000076696.6";"ENSDARG00000054533"
"48";"ENSDART00000077800.6";"ENSDARG00000019293"
"49";"ENSDART00000078466.6";"ENSDARG00000029263"
"50";"ENSDART00000079210.5";"ENSDARG00000056683"
"51";"ENSDART00000079283.6";"ENSDARG00000056740"
"52";"ENSDART00000079649.6";"ENSDARG00000057055"
"53";"ENSDART00000079691.5";"ENSDARG00000015476"
"54";"ENSDART00000080347.6";"ENSDARG00000057635"
"55";"ENSDART00000081894.7";"ENSDARG00000058958"
"56";"ENSDART00000083442.5";"ENSDARG00000059773"
"57";"ENSDART00000086885.5";"ENSDARG00000070874"
"58";"ENSDART00000088624.5";"ENSDARG00000057074"
"59";"ENSDART00000090171.4";"ENSDARG00000062376"
"60";"ENSDART00000097522.5";"ENSDARG00000067711"
"61";"ENSDART00000097540.5";"ENSDARG00000041340"
"62";"ENSDART00000098806.5";"ENSDARG00000061439"
"63";"ENSDART00000099157.5";"ENSDARG00000061371"
"64";"ENSDART00000099479.5";"ENSDARG00000068711"
"65";"ENSDART00000099647.6";"ENSDARG00000075181"
"66";"ENSDART00000100744.4";"ENSDARG00000069301"
"67";"ENSDART00000101204.4";"ENSDARG00000058538"
"68";"ENSDART00000101292.4";"ENSDARG00000069537"
"69";"ENSDART00000102949.4";"ENSDARG00000078167"
"70";"ENSDART00000103397.6";"ENSDARG00000070447"
"71";"ENSDART00000103626.5";"ENSDARG00000002377"
"72";"ENSDART00000106488.2";"ENSDARG00000011821"
"73";"ENSDART00000108999.4";"ENSDARG00000075759"
"74";"ENSDART00000109990.4";"ENSDARG00000078768"
"75";"ENSDART00000110137.5";"ENSDARG00000079283"
"76";"ENSDART00000111052.4";"ENSDARG00000074253"
"77";"ENSDART00000111414.3";"ENSDARG00000077253"
"78";"ENSDART00000111512.4";"ENSDARG00000074846"
"79";"ENSDART00000111699.5";"ENSDARG00000077950"
"80";"ENSDART00000112735.4";"ENSDARG00000062357"
"81";"ENSDART00000112778.4";"ENSDARG00000074302"
"82";"ENSDART00000113019.3";"ENSDARG00000077393"
"83";"ENSDART00000113185.4";"ENSDARG00000078805"
"84";"ENSDART00000113547.3";"ENSDARG00000075807"
"85";"ENSDART00000113661.4";"ENSDARG00000080018"
"86";"ENSDART00000114271.4";"ENSDARG00000076803"
"87";"ENSDART00000121439.3";"ENSDARG00000002377"
"88";"ENSDART00000121828.4";"ENSDARG00000019293"
"89";"ENSDART00000121859.3";"ENSDARG00000090063"
"90";"ENSDART00000122279.3";"ENSDARG00000042018"
"91";"ENSDART00000122735.3";"ENSDARG00000088072"
"92";"ENSDART00000123238.3";"ENSDARG00000057635"
"93";"ENSDART00000124091.3";"ENSDARG00000089187"
"94";"ENSDART00000124471.3";"ENSDARG00000057074"
"95";"ENSDART00000124920.4";"ENSDARG00000009341"
"96";"ENSDART00000124963.4";"ENSDARG00000086471"
"97";"ENSDART00000125149.3";"ENSDARG00000086269"
"98";"ENSDART00000126664.3";"ENSDARG00000007250"
"99";"ENSDART00000126984.3";"ENSDARG00000009341"
"100";"ENSDART00000127483.4";"ENSDARG00000091834"
"101";"ENSDART00000128182.3";"ENSDARG00000011821"
"102";"ENSDART00000128561.4";"ENSDARG00000087457"
"103";"ENSDART00000128743.3";"ENSDARG00000016968"
"104";"ENSDART00000128788.3";"ENSDARG00000063574"
"105";"ENSDART00000129570.3";"ENSDARG00000101490"
"106";"ENSDART00000129676.3";"ENSDARG00000090854"
"107";"ENSDART00000129910.3";"ENSDARG00000087916"
"108";"ENSDART00000131410.3";"ENSDARG00000029263"
"109";"ENSDART00000131463.2";"ENSDARG00000040250"
"110";"ENSDART00000131829.2";"ENSDARG00000063344"
"111";"ENSDART00000132028.3";"ENSDARG00000039490"
"112";"ENSDART00000133072.2";"ENSDARG00000034734"
"113";"ENSDART00000133077.2";"ENSDARG00000095576"
"114";"ENSDART00000133277.3";"ENSDARG00000021444"
"115";"ENSDART00000133392.3";"ENSDARG00000052520"
"116";"ENSDART00000135009.2";"ENSDARG00000025206"
"117";"ENSDART00000135049.3";"ENSDARG00000015476"
"118";"ENSDART00000135262.3";"ENSDARG00000078167"
"119";"ENSDART00000136016.2";"ENSDARG00000018542"
"120";"ENSDART00000136342.3";"ENSDARG00000054533"
"121";"ENSDART00000136672.3";"ENSDARG00000062357"
"122";"ENSDART00000136751.2";"ENSDARG00000042189"
"123";"ENSDART00000137120.2";"ENSDARG00000032737"
"124";"ENSDART00000137179.2";"ENSDARG00000036008"
"125";"ENSDART00000138049.2";"ENSDARG00000003144"
"126";"ENSDART00000138182.3";"ENSDARG00000054533"
"127";"ENSDART00000138301.2";"ENSDARG00000052520"
"128";"ENSDART00000138443.3";"ENSDARG00000075181"
"129";"ENSDART00000138630.3";"ENSDARG00000037652"
"130";"ENSDART00000138731.2";"ENSDARG00000086471"
"131";"ENSDART00000138837.2";"ENSDARG00000036943"
"132";"ENSDART00000139202.2";"ENSDARG00000018871"
"133";"ENSDART00000139285.2";"ENSDARG00000093521"
"134";"ENSDART00000139795.2";"ENSDARG00000025206"
"135";"ENSDART00000139813.2";"ENSDARG00000077950"
"136";"ENSDART00000139924.4";"ENSDARG00000036943"
"137";"ENSDART00000139974.2";"ENSDARG00000087916"
"138";"ENSDART00000140035.2";"ENSDARG00000011821"
"139";"ENSDART00000140081.2";"ENSDARG00000054533"
"140";"ENSDART00000140321.2";"ENSDARG00000090854"
"141";"ENSDART00000140851.2";"ENSDARG00000019293"
"142";"ENSDART00000140924.2";"ENSDARG00000045415"
"143";"ENSDART00000140935.2";"ENSDARG00000095453"
"144";"ENSDART00000140999.3";"ENSDARG00000092491"
"145";"ENSDART00000141283.2";"ENSDARG00000002377"
"146";"ENSDART00000141476.4";"ENSDARG00000052520"
"147";"ENSDART00000141484.2";"ENSDARG00000087798"
"148";"ENSDART00000142069.3";"ENSDARG00000033789"
"149";"ENSDART00000142347.2";"ENSDARG00000019293"
"150";"ENSDART00000142716.2";"ENSDARG00000024184"
"151";"ENSDART00000142998.4";"ENSDARG00000068468"
"152";"ENSDART00000143276.3";"ENSDARG00000093799"
"153";"ENSDART00000143325.2";"ENSDARG00000018153"
"154";"ENSDART00000143398.2";"ENSDARG00000052520"
"155";"ENSDART00000143981.2";"ENSDARG00000029263"
"156";"ENSDART00000144257.2";"ENSDARG00000087798"
"157";"ENSDART00000144327.3";"ENSDARG00000030463"
"158";"ENSDART00000144516.3";"ENSDARG00000078567"
"159";"ENSDART00000144769.2";"ENSDARG00000086471"
"160";"ENSDART00000144883.3";"ENSDARG00000063344"
"161";"ENSDART00000144897.4";"ENSDARG00000012446"
"162";"ENSDART00000145410.2";"ENSDARG00000088881"
"163";"ENSDART00000146192.3";"ENSDARG00000038615"
"164";"ENSDART00000146315.3";"ENSDARG00000003175"
"165";"ENSDART00000146364.3";"ENSDARG00000076270"
"166";"ENSDART00000147034.2";"ENSDARG00000090804"
"167";"ENSDART00000147430.2";"ENSDARG00000092774"
"168";"ENSDART00000147470.2";"ENSDARG00000015476"
"169";"ENSDART00000147618.2";"ENSDARG00000024184"
"170";"ENSDART00000147621.2";"ENSDARG00000032737"
"171";"ENSDART00000147667.2";"ENSDARG00000077253"
"172";"ENSDART00000147917.3";"ENSDARG00000042515"
"173";"ENSDART00000147947.2";"ENSDARG00000077860"
"174";"ENSDART00000148107.4";"ENSDARG00000059773"
"175";"ENSDART00000148516.2";"ENSDARG00000017522"
"176";"ENSDART00000148548.3";"ENSDARG00000058893"
"177";"ENSDART00000148879.2";"ENSDARG00000058893"
"178";"ENSDART00000149067.3";"ENSDARG00000011449"
"179";"ENSDART00000149204.3";"ENSDARG00000095893"
"180";"ENSDART00000149371.2";"ENSDARG00000044753"
"181";"ENSDART00000149429.2";"ENSDARG00000052129"
"182";"ENSDART00000149591.3";"ENSDARG00000011449"
"183";"ENSDART00000149732.4";"ENSDARG00000095893"
"184";"ENSDART00000149911.2";"ENSDARG00000045443"
"185";"ENSDART00000149938.4";"ENSDARG00000011449"
"186";"ENSDART00000150594.2";"ENSDARG00000016968"
"187";"ENSDART00000150812.2";"ENSDARG00000016968"
"188";"ENSDART00000150852.2";"ENSDARG00000016968"
"189";"ENSDART00000150875.2";"ENSDARG00000096208"
"190";"ENSDART00000151672.3";"ENSDARG00000096398"
"191";"ENSDART00000151899.2";"ENSDARG00000026759"
"192";"ENSDART00000152066.2";"ENSDARG00000026759"
"193";"ENSDART00000152246.2";"ENSDARG00000079355"
"194";"ENSDART00000152853.2";"ENSDARG00000018871"
"195";"ENSDART00000153006.2";"ENSDARG00000019135"
"196";"ENSDART00000153121.2";"ENSDARG00000095893"
"197";"ENSDART00000153168.2";"ENSDARG00000030472"
"198";"ENSDART00000153303.2";"ENSDARG00000095893"
"199";"ENSDART00000153401.2";"ENSDARG00000033446"
"200";"ENSDART00000153512.2";"ENSDARG00000029263"
"201";"ENSDART00000154105.3";"ENSDARG00000079283"
"202";"ENSDART00000154158.2";"ENSDARG00000044573"
"203";"ENSDART00000154333.2";"ENSDARG00000027963"
"204";"ENSDART00000154409.2";"ENSDARG00000087757"
"205";"ENSDART00000154540.2";"ENSDARG00000089954"
"206";"ENSDART00000154863.2";"ENSDARG00000038154"
"207";"ENSDART00000154987.3";"ENSDARG00000075759"
"208";"ENSDART00000155267.2";"ENSDARG00000097726"
"209";"ENSDART00000155698.2";"ENSDARG00000045641"
"210";"ENSDART00000155746.3";"ENSDARG00000044573"
"211";"ENSDART00000156364.2";"ENSDARG00000045641"
"212";"ENSDART00000156372.3";"ENSDARG00000002355"
"213";"ENSDART00000156512.2";"ENSDARG00000098029"
"214";"ENSDART00000156526.3";"ENSDARG00000078805"
"215";"ENSDART00000156885.2";"ENSDARG00000053517"
"216";"ENSDART00000156963.2";"ENSDARG00000097685"
"217";"ENSDART00000157087.2";"ENSDARG00000053517"
"218";"ENSDART00000157393.2";"ENSDARG00000100445"
"219";"ENSDART00000157830.2";"ENSDARG00000100158"
"220";"ENSDART00000158119.2";"ENSDARG00000099526"
"221";"ENSDART00000158148.2";"ENSDARG00000100997"
"222";"ENSDART00000158609.2";"ENSDARG00000099394"
"223";"ENSDART00000158772.2";"ENSDARG00000099074"
"224";"ENSDART00000158814.2";"ENSDARG00000099769"
"225";"ENSDART00000158978.2";"ENSDARG00000104132"
"226";"ENSDART00000159011.2";"ENSDARG00000101758"
"227";"ENSDART00000159055.2";"ENSDARG00000075807"
"228";"ENSDART00000159092.2";"ENSDARG00000099170"
"229";"ENSDART00000159161.2";"ENSDARG00000103096"
"230";"ENSDART00000159216.2";"ENSDARG00000103025"
"231";"ENSDART00000159235.2";"ENSDARG00000100516"
"232";"ENSDART00000159473.2";"ENSDARG00000098498"
"233";"ENSDART00000159554.2";"ENSDARG00000111826"
"234";"ENSDART00000159602.2";"ENSDARG00000099899"
"235";"ENSDART00000159628.2";"ENSDARG00000104132"
"236";"ENSDART00000159675.3";"ENSDARG00000101806"
"237";"ENSDART00000159795.2";"ENSDARG00000099638"
"238";"ENSDART00000159824.2";"ENSDARG00000104518"
"239";"ENSDART00000159979.2";"ENSDARG00000098163"
"240";"ENSDART00000160071.2";"ENSDARG00000104269"
"241";"ENSDART00000160161.2";"ENSDARG00000101830"
"242";"ENSDART00000160187.2";"ENSDARG00000102809"
"243";"ENSDART00000160202.2";"ENSDARG00000100801"
"244";"ENSDART00000160204.2";"ENSDARG00000103583"
"245";"ENSDART00000160276.2";"ENSDARG00000101106"
"246";"ENSDART00000160393.2";"ENSDARG00000069301"
"247";"ENSDART00000160463.2";"ENSDARG00000113690"
"248";"ENSDART00000160505.2";"ENSDARG00000110275"
"249";"ENSDART00000160625.2";"ENSDARG00000098394"
"250";"ENSDART00000160762.2";"ENSDARG00000100554"
"251";"ENSDART00000160925.2";"ENSDARG00000101665"
"252";"ENSDART00000160948.2";"ENSDARG00000104838"
"253";"ENSDART00000160963.2";"ENSDARG00000103885"
"254";"ENSDART00000160996.2";"ENSDARG00000103009"
"255";"ENSDART00000161066.2";"ENSDARG00000097685"
"256";"ENSDART00000161136.2";"ENSDARG00000114354"
"257";"ENSDART00000161238.2";"ENSDARG00000113690"
"258";"ENSDART00000161271.2";"ENSDARG00000104481"
"259";"ENSDART00000161350.2";"ENSDARG00000102553"
"260";"ENSDART00000161368.2";"ENSDARG00000101768"
"261";"ENSDART00000161399.2";"ENSDARG00000099140"
"262";"ENSDART00000161459.2";"ENSDARG00000103707"
"263";"ENSDART00000161463.2";"ENSDARG00000103552"
"264";"ENSDART00000161537.2";"ENSDARG00000099052"
"265";"ENSDART00000161571.2";"ENSDARG00000098489"
"266";"ENSDART00000161574.2";"ENSDARG00000102608"
"267";"ENSDART00000161622.2";"ENSDARG00000104591"
"268";"ENSDART00000161690.2";"ENSDARG00000099239"
"269";"ENSDART00000161723.2";"ENSDARG00000079283"
"270";"ENSDART00000161734.2";"ENSDARG00000099504"
"271";"ENSDART00000161763.2";"ENSDARG00000102854"
"272";"ENSDART00000161797.3";"ENSDARG00000098626"
"273";"ENSDART00000162001.2";"ENSDARG00000103031"
"274";"ENSDART00000162061.2";"ENSDARG00000103300"
"275";"ENSDART00000162187.2";"ENSDARG00000098675"
"276";"ENSDART00000162257.2";"ENSDARG00000100541"
"277";"ENSDART00000162322.2";"ENSDARG00000103391"
"278";"ENSDART00000162352.2";"ENSDARG00000104194"
"279";"ENSDART00000162378.2";"ENSDARG00000100345"
"280";"ENSDART00000162456.2";"ENSDARG00000114907"
"281";"ENSDART00000162628.2";"ENSDARG00000103025"
"282";"ENSDART00000162639.3";"ENSDARG00000100546"
"283";"ENSDART00000162709.3";"ENSDARG00000086269"
"284";"ENSDART00000162837.2";"ENSDARG00000099200"
"285";"ENSDART00000162892.2";"ENSDARG00000102608"
"286";"ENSDART00000162921.2";"ENSDARG00000100765"
"287";"ENSDART00000162964.2";"ENSDARG00000102374"
"288";"ENSDART00000162972.3";"ENSDARG00000100002"
"289";"ENSDART00000163138.2";"ENSDARG00000101490"
"290";"ENSDART00000163282.2";"ENSDARG00000099434"
"291";"ENSDART00000163388.2";"ENSDARG00000101165"
"292";"ENSDART00000163411.2";"ENSDARG00000012446"
"293";"ENSDART00000163675.2";"ENSDARG00000103544"
"294";"ENSDART00000163680.2";"ENSDARG00000103025"
"295";"ENSDART00000163816.2";"ENSDARG00000100099"
"296";"ENSDART00000163851.2";"ENSDARG00000101709"
"297";"ENSDART00000163938.2";"ENSDARG00000103438"
"298";"ENSDART00000163956.2";"ENSDARG00000100099"
"299";"ENSDART00000163969.2";"ENSDARG00000105200"
"300";"ENSDART00000164059.2";"ENSDARG00000103876"
"301";"ENSDART00000164110.2";"ENSDARG00000102189"
"302";"ENSDART00000164120.2";"ENSDARG00000100706"
"303";"ENSDART00000164309.2";"ENSDARG00000100017"
"304";"ENSDART00000164348.2";"ENSDARG00000098677"
"305";"ENSDART00000164426.2";"ENSDARG00000020986"
"306";"ENSDART00000164445.2";"ENSDARG00000100694"
"307";"ENSDART00000164489.2";"ENSDARG00000103104"
"308";"ENSDART00000164491.2";"ENSDARG00000116856"
"309";"ENSDART00000164492.2";"ENSDARG00000102592"
"310";"ENSDART00000164542.2";"ENSDARG00000054533"
"311";"ENSDART00000164659.2";"ENSDARG00000102466"
"312";"ENSDART00000164734.2";"ENSDARG00000100027"
"313";"ENSDART00000164747.2";"ENSDARG00000103031"
"314";"ENSDART00000164889.2";"ENSDARG00000099066"
"315";"ENSDART00000164894.2";"ENSDARG00000103626"
"316";"ENSDART00000164961.2";"ENSDARG00000101685"
"317";"ENSDART00000165084.2";"ENSDARG00000031836"
"318";"ENSDART00000165172.2";"ENSDARG00000102408"
"319";"ENSDART00000165180.3";"ENSDARG00000092774"
"320";"ENSDART00000165410.2";"ENSDARG00000100191"
"321";"ENSDART00000165510.2";"ENSDARG00000090063"
"322";"ENSDART00000165676.2";"ENSDARG00000100951"
"323";"ENSDART00000165795.2";"ENSDARG00000057055"
"324";"ENSDART00000165811.2";"ENSDARG00000104629"
"325";"ENSDART00000166020.2";"ENSDARG00000113964"
"326";"ENSDART00000166029.2";"ENSDARG00000102625"
"327";"ENSDART00000166061.2";"ENSDARG00000098274"
"328";"ENSDART00000166081.2";"ENSDARG00000102608"
"329";"ENSDART00000166182.2";"ENSDARG00000102108"
"330";"ENSDART00000166210.2";"ENSDARG00000101058"
"331";"ENSDART00000166253.2";"ENSDARG00000101033"
"332";"ENSDART00000166370.2";"ENSDARG00000110102"
"333";"ENSDART00000166454.2";"ENSDARG00000098624"
"334";"ENSDART00000166519.2";"ENSDARG00000033099"
"335";"ENSDART00000166828.2";"ENSDARG00000115560"
"336";"ENSDART00000166882.2";"ENSDARG00000113032"
"337";"ENSDART00000166892.2";"ENSDARG00000099454"
"338";"ENSDART00000166902.2";"ENSDARG00000093799"
"339";"ENSDART00000167022.2";"ENSDARG00000105063"
"340";"ENSDART00000167067.2";"ENSDARG00000102757"
"341";"ENSDART00000167251.2";"ENSDARG00000101085"
"342";"ENSDART00000167303.2";"ENSDARG00000111519"
"343";"ENSDART00000167332.2";"ENSDARG00000102175"
"344";"ENSDART00000167404.2";"ENSDARG00000101681"
"345";"ENSDART00000167409.2";"ENSDARG00000109710"
"346";"ENSDART00000167496.2";"ENSDARG00000100237"
"347";"ENSDART00000167576.2";"ENSDARG00000098795"
"348";"ENSDART00000167581.2";"ENSDARG00000101820"
"349";"ENSDART00000167613.2";"ENSDARG00000103025"
"350";"ENSDART00000167805.2";"ENSDARG00000103506"
"351";"ENSDART00000167841.2";"ENSDARG00000101085"
"352";"ENSDART00000167932.2";"ENSDARG00000102522"
"353";"ENSDART00000167950.2";"ENSDARG00000104629"
"354";"ENSDART00000167980.2";"ENSDARG00000104901"
"355";"ENSDART00000168039.2";"ENSDARG00000104867"
"356";"ENSDART00000168126.2";"ENSDARG00000102246"
"357";"ENSDART00000168177.2";"ENSDARG00000102176"
"358";"ENSDART00000168277.2";"ENSDARG00000052129"
"359";"ENSDART00000168385.2";"ENSDARG00000099028"
"360";"ENSDART00000168607.2";"ENSDARG00000103772"
"361";"ENSDART00000168861.2";"ENSDARG00000102175"
"362";"ENSDART00000168926.2";"ENSDARG00000103849"
"363";"ENSDART00000168957.3";"ENSDARG00000061371"
"364";"ENSDART00000168960.2";"ENSDARG00000103897"
"365";"ENSDART00000169072.2";"ENSDARG00000077860"
"366";"ENSDART00000169144.2";"ENSDARG00000105063"
"367";"ENSDART00000169180.2";"ENSDARG00000020647"
"368";"ENSDART00000169436.2";"ENSDARG00000098496"
"369";"ENSDART00000169491.2";"ENSDARG00000103150"
"370";"ENSDART00000169589.3";"ENSDARG00000100858"
"371";"ENSDART00000169803.2";"ENSDARG00000103653"
"372";"ENSDART00000169864.2";"ENSDARG00000099027"
"373";"ENSDART00000170007.2";"ENSDARG00000101490"
"374";"ENSDART00000170143.2";"ENSDARG00000098677"
"375";"ENSDART00000170206.2";"ENSDARG00000101882"
"376";"ENSDART00000170399.2";"ENSDARG00000100637"
"377";"ENSDART00000170440.2";"ENSDARG00000103890"
"378";"ENSDART00000170448.2";"ENSDARG00000101121"
"379";"ENSDART00000170471.2";"ENSDARG00000115890"
"380";"ENSDART00000170523.2";"ENSDARG00000102052"
"381";"ENSDART00000170597.2";"ENSDARG00000098726"
"382";"ENSDART00000170691.2";"ENSDARG00000102880"
"383";"ENSDART00000170804.2";"ENSDARG00000098423"
"384";"ENSDART00000170821.2";"ENSDARG00000099200"
"385";"ENSDART00000170860.2";"ENSDARG00000102250"
"386";"ENSDART00000170923.2";"ENSDARG00000104629"
"387";"ENSDART00000170926.2";"ENSDARG00000109231"
"388";"ENSDART00000171020.2";"ENSDARG00000105150"
"389";"ENSDART00000171098.2";"ENSDARG00000104684"
"390";"ENSDART00000171123.2";"ENSDARG00000058893"
"391";"ENSDART00000171126.2";"ENSDARG00000116269"
"392";"ENSDART00000171132.2";"ENSDARG00000102001"
"393";"ENSDART00000171190.2";"ENSDARG00000104629"
"394";"ENSDART00000171201.2";"ENSDARG00000098172"
"395";"ENSDART00000171344.2";"ENSDARG00000099064"
"396";"ENSDART00000171356.2";"ENSDARG00000104046"
"397";"ENSDART00000171447.2";"ENSDARG00000098938"
"398";"ENSDART00000171483.2";"ENSDARG00000101738"
"399";"ENSDART00000171570.2";"ENSDARG00000102176"
"400";"ENSDART00000171613.2";"ENSDARG00000099259"
"401";"ENSDART00000171681.2";"ENSDARG00000113555"
"402";"ENSDART00000171701.2";"ENSDARG00000100738"
"403";"ENSDART00000171772.2";"ENSDARG00000098629"
"404";"ENSDART00000171914.2";"ENSDARG00000111335"
"405";"ENSDART00000172037.2";"ENSDARG00000101672"
"406";"ENSDART00000172119.2";"ENSDARG00000078567"
"407";"ENSDART00000172136.2";"ENSDARG00000113690"
"408";"ENSDART00000172182.2";"ENSDARG00000100048"
"409";"ENSDART00000172223.2";"ENSDARG00000099869"
"410";"ENSDART00000172251.2";"ENSDARG00000015793"
"411";"ENSDART00000172374.2";"ENSDARG00000099268"
"412";"ENSDART00000172528.2";"ENSDARG00000101221"
"413";"ENSDART00000172678.2";"ENSDARG00000026759"
"414";"ENSDART00000172709.2";"ENSDARG00000098726"
"415";"ENSDART00000172882.2";"ENSDARG00000045015"
"416";"ENSDART00000173471.2";"ENSDARG00000036420"
"417";"ENSDART00000173668.2";"ENSDARG00000098626"
"418";"ENSDART00000173809.2";"ENSDARG00000036420"
"419";"ENSDART00000173911.2";"ENSDARG00000030463"
"420";"ENSDART00000173934.2";"ENSDARG00000098626"
"421";"ENSDART00000173945.2";"ENSDARG00000015793"
"422";"ENSDART00000174580.2";"ENSDARG00000029263"
"423";"ENSDART00000174685.2";"ENSDARG00000059773"
"424";"ENSDART00000175024.2";"ENSDARG00000089954"
"425";"ENSDART00000175207.2";"ENSDARG00000076270"
"426";"ENSDART00000176133.2";"ENSDARG00000052097"
"427";"ENSDART00000176637.2";"ENSDARG00000053517"
"428";"ENSDART00000178732.2";"ENSDARG00000030463"
"429";"ENSDART00000179893.1";"ENSDARG00000042018"
"430";"ENSDART00000179964.1";"ENSDARG00000027963"
"431";"ENSDART00000180384.1";"ENSDARG00000089954"
"432";"ENSDART00000180403.1";"ENSDARG00000113108"
"433";"ENSDART00000180528.1";"ENSDARG00000078167"
"434";"ENSDART00000180571.1";"ENSDARG00000044573"
"435";"ENSDART00000180943.1";"ENSDARG00000110784"
"436";"ENSDART00000180985.1";"ENSDARG00000011449"
"437";"ENSDART00000181577.1";"ENSDARG00000098726"
"438";"ENSDART00000181827.1";"ENSDARG00000111775"
"439";"ENSDART00000181891.1";"ENSDARG00000078167"
"440";"ENSDART00000182247.1";"ENSDARG00000029263"
"441";"ENSDART00000182248.1";"ENSDARG00000105063"
"442";"ENSDART00000182436.1";"ENSDARG00000068468"
"443";"ENSDART00000182440.1";"ENSDARG00000086269"
"444";"ENSDART00000182846.1";"ENSDARG00000116599"
"445";"ENSDART00000182863.1";"ENSDARG00000114580"
"446";"ENSDART00000183048.1";"ENSDARG00000098726"
"447";"ENSDART00000183613.1";"ENSDARG00000068468"
"448";"ENSDART00000183757.1";"ENSDARG00000113034"
"449";"ENSDART00000183848.1";"ENSDARG00000036943"
"450";"ENSDART00000183937.1";"ENSDARG00000074846"
"451";"ENSDART00000183998.1";"ENSDARG00000078167"
"452";"ENSDART00000184111.1";"ENSDARG00000044753"
"453";"ENSDART00000184208.1";"ENSDARG00000105063"
"454";"ENSDART00000184299.1";"ENSDARG00000029263"
"455";"ENSDART00000184362.1";"ENSDARG00000061371"
"456";"ENSDART00000184486.1";"ENSDARG00000089954"
"457";"ENSDART00000184520.1";"ENSDARG00000111826"
"458";"ENSDART00000184586.1";"ENSDARG00000115333"
"459";"ENSDART00000185019.1";"ENSDARG00000115889"
"460";"ENSDART00000185656.1";"ENSDARG00000113818"
"461";"ENSDART00000186087.1";"ENSDARG00000115241"
"462";"ENSDART00000186681.1";"ENSDARG00000116253"
"463";"ENSDART00000186687.1";"ENSDARG00000112867"
"464";"ENSDART00000186706.1";"ENSDARG00000078768"
"465";"ENSDART00000186786.1";"ENSDARG00000090804"
"466";"ENSDART00000187002.1";"ENSDARG00000116308"
"467";"ENSDART00000187058.1";"ENSDARG00000098677"
"468";"ENSDART00000187409.1";"ENSDARG00000029263"
"469";"ENSDART00000187511.1";"ENSDARG00000058958"
"470";"ENSDART00000188808.1";"ENSDARG00000058958"
"471";"ENSDART00000188827.1";"ENSDARG00000101665"
"472";"ENSDART00000189226.1";"ENSDARG00000116470"
"473";"ENSDART00000189431.1";"ENSDARG00000116509"
"474";"ENSDART00000189645.1";"ENSDARG00000090063"
"475";"ENSDART00000189685.1";"ENSDARG00000044573"
"476";"ENSDART00000190025.1";"ENSDARG00000103025"
"477";"ENSDART00000190038.1";"ENSDARG00000114801"
"478";"ENSDART00000190142.1";"ENSDARG00000115225"
"479";"ENSDART00000190235.1";"ENSDARG00000114801"
"480";"ENSDART00000190366.1";"ENSDARG00000025206"
