"";"category";"over_represented_pvalue";"under_represented_pvalue";"numDEInCat";"numInCat";"term";"ontology";"over_represented_padj";"under_represented_padj"
"GO:0008236";"GO:0008236";0,000777088477057103;0,999914646296236;5;148;"serine-type peptidase activity";"MF";0,335930777523097;1
"GO:0015991";"GO:0015991";0,00109766174702998;0,999949977403918;3;39;"ATP hydrolysis coupled proton transport";"BP";0,448150898829073;1
"GO:0006814";"GO:0006814";0,00116626338543931;0,999902142716777;4;81;"sodium ion transport";"BP";0,451098401031238;1
"GO:0009617";"GO:0009617";0,00172557651463867;0,999907159168013;3;46;"response to bacterium";"BP";0,631981814101585;1
"GO:0046961";"GO:0046961";0,00180590802777702;0,999968329800586;2;12;"proton-transporting ATPase activity, rotational mechanism";"MF";0,631981814101585;1
"GO:0046034";"GO:0046034";0,00209123731174361;0,999960020305384;2;13;"ATP metabolic process";"BP";0,690546114621201;1
"GO:0006826";"GO:0006826";0,00216118664257554;0,999956904890617;2;16;"iron ion transport";"BP";0,690546114621201;1
"GO:0030246";"GO:0030246";0,00264358830682643;0,999614787377161;5;213;"carbohydrate binding";"MF";0,80948876945281;1
"GO:0033180";"GO:0033180";0,00359611476441035;0,999906404705346;2;17;"proton-transporting V-type ATPase, V1 domain";"CC";0,867988307676697;1
"GO:0006865";"GO:0006865";0,00364750534214657;0,999904973247409;2;16;"amino acid transport";"BP";0,867988307676697;1
"GO:0004180";"GO:0004180";0,00405375917246574;0,999887190517566;2;18;"carboxypeptidase activity";"MF";0,867988307676697;1
"GO:0007626";"GO:0007626";0,00437702647257091;0,999669404059185;3;60;"locomotory behavior";"BP";0,867988307676697;1
"GO:0055114";"GO:0055114";0,00552744098826372;0,998128549311471;11;891;"oxidation-reduction process";"BP";0,867988307676697;1
"GO:0010248";"GO:0010248";0,00555681829623492;0,999817254541648;2;19;"establishment or maintenance of transmembrane electrochemical gradient";"BP";0,867988307676697;1
"GO:0004505";"GO:0004505";0,00575003622538022;1;1;1;"phenylalanine 4-monooxygenase activity";"MF";0,867988307676697;1
"GO:1990578";"GO:1990578";0,00576166827372831;1;1;1;"perinuclear endoplasmic reticulum membrane";"CC";0,867988307676697;1
"GO:0004375";"GO:0004375";0,00608284910291688;1;1;1;"glycine dehydrogenase (decarboxylating) activity";"MF";0,867988307676697;1
"GO:0046677";"GO:0046677";0,00611783150225985;1;1;1;"response to antibiotic";"BP";0,867988307676697;1
"GO:0008645";"GO:0008645";0,00614634257604199;1;1;1;"hexose transmembrane transport";"BP";0,867988307676697;1
"GO:0010310";"GO:0010310";0,00623656295427097;1;1;1;"regulation of hydrogen peroxide metabolic process";"BP";0,867988307676697;1
"GO:0008448";"GO:0008448";0,0062382715716012;1;1;1;"N-acetylglucosamine-6-phosphate deacetylase activity";"MF";0,867988307676697;1
"GO:0019262";"GO:0019262";0,0062382715716012;1;1;1;"N-acetylneuraminate catabolic process";"BP";0,867988307676697;1
"GO:0047419";"GO:0047419";0,0062382715716012;1;1;1;"N-acetylgalactosamine-6-phosphate deacetylase activity";"MF";0,867988307676697;1
"GO:0043604";"GO:0043604";0,00625604158717316;1;1;1;"amide biosynthetic process";"BP";0,867988307676697;1
"GO:0043605";"GO:0043605";0,00625604158717316;1;1;1;"cellular amide catabolic process";"BP";0,867988307676697;1
"GO:1990845";"GO:1990845";0,00625604158717316;1;1;1;"adaptive thermogenesis";"BP";0,867988307676697;1
"GO:2000275";"GO:2000275";0,00625604158717316;1;1;1;"regulation of oxidative phosphorylation uncoupler activity";"BP";0,867988307676697;1
"GO:0004504";"GO:0004504";0,00625609101975987;1;1;1;"peptidylglycine monooxygenase activity";"MF";0,867988307676697;1
"GO:0006518";"GO:0006518";0,00625609101975987;1;1;1;"peptide metabolic process";"BP";0,867988307676697;1
"GO:0030033";"GO:0030033";0,00625609101975987;1;1;1;"microvillus assembly";"BP";0,867988307676697;1
"GO:0097711";"GO:0097711";0,00625609101975987;1;1;1;"ciliary basal body-plasma membrane docking";"BP";0,867988307676697;1
"GO:0055075";"GO:0055075";0,00625973910698143;1;1;1;"potassium ion homeostasis";"BP";0,867988307676697;1
"GO:0009063";"GO:0009063";0,00625981498256428;1;1;1;"cellular amino acid catabolic process";"BP";0,867988307676697;1
"GO:0016052";"GO:0016052";0,00625981498256428;1;1;1;"carbohydrate catabolic process";"BP";0,867988307676697;1
"GO:0031313";"GO:0031313";0,00625981498256428;1;1;1;"extrinsic component of endosome membrane";"CC";0,867988307676697;1
"GO:0035973";"GO:0035973";0,00625981498256428;1;1;1;"aggrephagy";"BP";0,867988307676697;1
"GO:0050023";"GO:0050023";0,00625981498256428;1;1;1;"L-fuconate dehydratase activity";"MF";0,867988307676697;1
"GO:0090504";"GO:0090504";0,0069634573850932;0,999739655972868;2;22;"epiboly";"BP";0,947674968945369;1
"GO:0006629";"GO:0006629";0,00783511259801323;0,998524355139121;5;231;"lipid metabolic process";"BP";1;1
"GO:0008484";"GO:0008484";0,00786149088621362;0,999685117233685;2;24;"sulfuric ester hydrolase activity";"MF";1;1
"GO:1902600";"GO:1902600";0,0080142032638258;0,999240112833029;3;86;"proton transmembrane transport";"BP";1;1
"GO:0005768";"GO:0005768";0,00813983292511397;0,999225863683727;3;77;"endosome";"CC";1;1
"GO:0000145";"GO:0000145";0,00883860660682752;0,999623806291313;2;24;"exocyst";"CC";1;1
"GO:0006879";"GO:0006879";0,0088784156850249;0,999616877791479;2;29;"cellular iron ion homeostasis";"BP";1;1
"GO:0006979";"GO:0006979";0,00956989462541521;0,999571468154149;2;28;"response to oxidative stress";"BP";1;1
"GO:0000976";"GO:0000976";0,00982881132207056;0,99955565899891;2;26;"transcription regulatory region sequence-specific DNA binding";"MF";1;1
"GO:0004014";"GO:0004014";0,00987302800264181;0,999975698196208;1;2;"adenosylmethionine decarboxylase activity";"MF";1;1
"GO:0006557";"GO:0006557";0,00987302800264181;0,999975698196208;1;2;"S-adenosylmethioninamine biosynthetic process";"BP";1;1
"GO:0005789";"GO:0005789";0,0102566898058421;0,997935550584169;5;259;"endoplasmic reticulum membrane";"CC";1;1
"GO:0000421";"GO:0000421";0,0106205614959197;0,999971868196636;1;2;"autophagosome membrane";"CC";1;1
"GO:0015171";"GO:0015171";0,0110063615429391;0,999969781334671;1;2;"amino acid transmembrane transporter activity";"MF";1;1
"GO:0006883";"GO:0006883";0,0111822745611052;0,999968804866447;1;2;"cellular sodium ion homeostasis";"BP";1;1
"GO:0030203";"GO:0030203";0,0113092928314971;0,999968090097565;1;2;"glycosaminoglycan metabolic process";"BP";1;1
"GO:0070419";"GO:0070419";0,011392479989468;0,999967617566227;1;2;"nonhomologous end joining complex";"CC";1;1
"GO:0006546";"GO:0006546";0,0115089926701103;0,999966949861736;1;2;"glycine catabolic process";"BP";1;1
"GO:0034361";"GO:0034361";0,0117190805825991;0,999965728579075;1;2;"very-low-density lipoprotein particle";"CC";1;1
"GO:0043169";"GO:0043169";0,0118833347215363;0,999402105083543;2;30;"cation binding";"MF";1;1
"GO:0006071";"GO:0006071";0,0118979516721415;0,999964671197082;1;2;"glycerol metabolic process";"BP";1;1
"GO:0006559";"GO:0006559";0,0119741320625343;0,999964215955195;1;2;"L-phenylalanine catabolic process";"BP";1;1
"GO:0008240";"GO:0008240";0,0120437300468167;0,99996379748562;1;2;"tripeptidyl-peptidase activity";"MF";1;1
"GO:0006517";"GO:0006517";0,0122648358219905;0,999962451809184;1;2;"protein deglycosylation";"BP";1;1
"GO:0015078";"GO:0015078";0,0123851790886315;0,999357737817674;2;36;"proton transmembrane transporter activity";"MF";1;1
"GO:0042627";"GO:0042627";0,0124001122234759;0,999961616316691;1;2;"chylomicron";"CC";1;1
"GO:0071340";"GO:0071340";0,0124788522560704;0,999961125743632;1;2;"skeletal muscle acetylcholine-gated channel clustering";"BP";1;1
"GO:0004322";"GO:0004322";0,0145654720118328;0,999929367382726;1;3;"ferroxidase activity";"MF";1;1
"GO:0097255";"GO:0097255";0,0147730666810223;0,999927332820895;1;3;"R2TP complex";"CC";1;1
"GO:0006597";"GO:0006597";0,0152674292262181;0,999922370635575;1;3;"spermine biosynthetic process";"BP";1;1
"GO:1903826";"GO:1903826";0,0152921584602636;0,999922118081237;1;3;"arginine transmembrane transport";"BP";1;1
"GO:0003015";"GO:0003015";0,0158579866412514;0,999916226536398;1;3;"heart process";"BP";1;1
"GO:0046323";"GO:0046323";0,0158980008408876;0,999915801708117;1;3;"glucose import";"BP";1;1
"GO:0008295";"GO:0008295";0,015900440501011;0,999915775771394;1;3;"spermidine biosynthetic process";"BP";1;1
"GO:0004563";"GO:0004563";0,0162254647418751;0,999912284370698;1;3;"beta-N-acetylhexosaminidase activity";"MF";1;1
"GO:0102148";"GO:0102148";0,0162254647418751;0,999912284370698;1;3;"N-acetyl-beta-D-galactosaminidase activity";"MF";1;1
"GO:0043190";"GO:0043190";0,0167132374214769;0,999906910675468;1;3;"ATP-binding cassette (ABC) transporter complex";"CC";1;1
"GO:0003844";"GO:0003844";0,0167380534543152;0,999906632979323;1;3;"1,4-alpha-glucan branching enzyme activity";"MF";1;1
"GO:0001558";"GO:0001558";0,0168870068183603;0,998965279300817;2;40;"regulation of cell growth";"BP";1;1
"GO:0004565";"GO:0004565";0,0171768014071284;0,999901654478114;1;3;"beta-galactosidase activity";"MF";1;1
"GO:0005215";"GO:0005215";0,0173268028461075;0,997814074689294;3;95;"transporter activity";"MF";1;1
"GO:0043473";"GO:0043473";0,0175181098749343;0,998910272577736;2;36;"pigmentation";"BP";1;1
"GO:0004748";"GO:0004748";0,017653639415734;0,999896095959415;1;3;"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor";"MF";1;1
"GO:0071986";"GO:0071986";0,0176579806008558;0,999875352998767;1;5;"Ragulator complex";"CC";1;1
"GO:0004144";"GO:0004144";0,0176921251014434;0,999895640613037;1;3;"diacylglycerol O-acyltransferase activity";"MF";1;1
"GO:0015181";"GO:0015181";0,0177719718851753;0,99989469269856;1;3;"arginine transmembrane transporter activity";"MF";1;1
"GO:0046872";"GO:0046872";0,0179226102904891;0,990835597586074;20;2258;"metal ion binding";"MF";1;1
"GO:0016324";"GO:0016324";0,0179506264960978;0,998868912144318;2;36;"apical plasma membrane";"CC";1;1
"GO:1905897";"GO:1905897";0,0181546590328848;0,999890089582223;1;3;"regulation of response to endoplasmic reticulum stress";"BP";1;1
"GO:0005520";"GO:0005520";0,0182616284421515;0,998832853865165;2;41;"insulin-like growth factor binding";"MF";1;1
"GO:0003674";"GO:0003674";0,0183038737661039;0,991546956411057;15;1711;"molecular_function";"MF";1;1
"GO:0071379";"GO:0071379";0,0183561030573796;0,999887626645073;1;3;"cellular response to prostaglandin stimulus";"BP";1;1
"GO:0045475";"GO:0045475";0,0184375529602243;0,999886622992361;1;3;"locomotor rhythm";"BP";1;1
"GO:0004560";"GO:0004560";0,0200460634024687;0,999849200307629;1;4;"alpha-L-fucosidase activity";"MF";1;1
"GO:0009263";"GO:0009263";0,0201659207097259;0,999847383833791;1;4;"deoxyribonucleotide biosynthetic process";"BP";1;1
"GO:0005751";"GO:0005751";0,0202793961945883;0,999823734411289;1;7;"mitochondrial respiratory chain complex IV";"CC";1;1
"GO:0005576";"GO:0005576";0,0206435802059348;0,992935286126058;8;757;"extracellular region";"CC";1;1
"GO:0043141";"GO:0043141";0,0209371149521473;0,999835433733676;1;4;"ATP-dependent 5'-3' DNA helicase activity";"MF";1;1
"GO:0005811";"GO:0005811";0,0214157980531053;0,999827787651818;1;4;"lipid droplet";"CC";1;1
"GO:0005774";"GO:0005774";0,0222976552836181;0,999813242736686;1;4;"vacuolar membrane";"CC";1;1
"GO:0005507";"GO:0005507";0,0224708992363532;0,998389681769956;2;47;"copper ion binding";"MF";1;1
"GO:0055064";"GO:0055064";0,0233342522060358;0,99979538426789;1;4;"chloride ion homeostasis";"BP";1;1
"GO:0097009";"GO:0097009";0,0234677376144735;0,999779314318503;1;5;"energy homeostasis";"BP";1;1
"GO:0031994";"GO:0031994";0,0237050997187898;0,999774805627416;1;5;"insulin-like growth factor I binding";"MF";1;1
"GO:0031995";"GO:0031995";0,0237050997187898;0,999774805627416;1;5;"insulin-like growth factor II binding";"MF";1;1
"GO:0055056";"GO:0055056";0,023787862019103;0,999787310430187;1;4;"D-glucose transmembrane transporter activity";"MF";1;1
"GO:0003333";"GO:0003333";0,0285347663545863;0,999673048091688;1;5;"amino acid transmembrane transport";"BP";1;1
"GO:0004465";"GO:0004465";0,0286457598990905;0,999670484568082;1;5;"lipoprotein lipase activity";"MF";1;1
"GO:0003993";"GO:0003993";0,0288310076107991;0,999642539903794;1;7;"acid phosphatase activity";"MF";1;1
"GO:0015271";"GO:0015271";0,0289508530964134;0,999649475442269;1;6;"outward rectifier potassium channel activity";"MF";1;1
"GO:1990573";"GO:1990573";0,0293601651781263;0,99963943479349;1;6;"potassium ion import across plasma membrane";"BP";1;1
"GO:0030215";"GO:0030215";0,0297112557754176;0,999645360172557;1;5;"semaphorin receptor binding";"MF";1;1
"GO:0038191";"GO:0038191";0,0297112557754176;0,999645360172557;1;5;"neuropilin binding";"MF";1;1
"GO:0030133";"GO:0030133";0,0299650744638415;0,999624333320191;1;6;"transport vesicle";"CC";1;1
"GO:0006044";"GO:0006044";0,0300504225104153;0,999622177379912;1;6;"N-acetylglucosamine metabolic process";"BP";1;1
"GO:0071230";"GO:0071230";0,030129352996355;0,999620177994122;1;6;"cellular response to amino acid stimulus";"BP";1;1
"GO:0016311";"GO:0016311";0,0320559918704124;0,992943062677538;4;224;"dephosphorylation";"BP";1;1
"GO:0006004";"GO:0006004";0,032701230309348;0,999539430230832;1;7;"fucose metabolic process";"BP";1;1
"GO:0006310";"GO:0006310";0,0332025824533702;0,997061234067856;2;51;"DNA recombination";"BP";1;1
"GO:0007160";"GO:0007160";0,0336678165664273;0,996992857454064;2;54;"cell-matrix adhesion";"BP";1;1
"GO:0034626";"GO:0034626";0,0350800556278066;0,999469489553367;1;7;"fatty acid elongation, polyunsaturated fatty acid";"BP";1;1
"GO:0008449";"GO:0008449";0,0355239253806596;0,999470846036329;1;6;"N-acetylglucosamine-6-sulfatase activity";"MF";1;1
"GO:0006887";"GO:0006887";0,0356969370927368;0,996709372289758;2;54;"exocytosis";"BP";1;1
"GO:0045499";"GO:0045499";0,0357864875615392;0,999462938363275;1;6;"chemorepellent activity";"MF";1;1
"GO:0006511";"GO:0006511";0,0357953237540781;0,994020176203601;3;130;"ubiquitin-dependent protein catabolic process";"BP";1;1
"GO:0034599";"GO:0034599";0,0364699018743741;0,999442076707788;1;6;"cellular response to oxidative stress";"BP";1;1
"GO:0006825";"GO:0006825";0,0373790241938515;0,999367334420926;1;10;"copper ion transport";"BP";1;1
"GO:0005783";"GO:0005783";0,037910651193421;0,98933798589439;5;359;"endoplasmic reticulum";"CC";1;1
"GO:0048843";"GO:0048843";0,0383637839827636;0,999364701178401;1;7;"negative regulation of axon extension involved in axon guidance";"BP";1;1
"GO:0045022";"GO:0045022";0,0387898790070392;0,999350401491385;1;7;"early endosome to late endosome transport";"BP";1;1
"GO:0004197";"GO:0004197";0,0394413548574183;0,996150721079833;2;61;"cysteine-type endopeptidase activity";"MF";1;1
"GO:0044255";"GO:0044255";0,0404990084623512;0,999291418252653;1;7;"cellular lipid metabolic process";"BP";1;1
"GO:0005883";"GO:0005883";0,0405310562474916;0,999290287391224;1;7;"neurofilament";"CC";1;1
"GO:0031083";"GO:0031083";0,0408564893263606;0,999263909743508;1;8;"BLOC-1 complex";"CC";1;1
"GO:0007409";"GO:0007409";0,0428112244533676;0,995631517694061;2;61;"axonogenesis";"BP";1;1
"GO:0005890";"GO:0005890";0,0430236627866417;0,999183060252008;1;8;"sodium:potassium-exchanging ATPase complex";"CC";1;1
"GO:0005615";"GO:0005615";0,0433441451937026;0,989495575603121;4;286;"extracellular space";"CC";1;1
"GO:0051168";"GO:0051168";0,0436629034041777;0,999158394358035;1;8;"nuclear export";"BP";1;1
"GO:0016811";"GO:0016811";0,0441227319322571;0,999116195078489;1;10;"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"MF";1;1
"GO:0016715";"GO:0016715";0,0447243143101838;0,999116614058555;1;8;"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen";"MF";1;1
"GO:0035014";"GO:0035014";0,0449933991997143;0,999105858430205;1;8;"phosphatidylinositol 3-kinase regulator activity";"MF";1;1
"GO:0015379";"GO:0015379";0,0450398557155181;0,9991039948065;1;8;"potassium:chloride symporter activity";"MF";1;1
"GO:0009409";"GO:0009409";0,0454946107734884;0,999071335435361;1;9;"response to cold";"BP";1;1
"GO:0032008";"GO:0032008";0,0459245858236898;0,999041878687828;1;10;"positive regulation of TOR signaling";"BP";1;1
"GO:0006596";"GO:0006596";0,0477615433032462;0,998975586434495;1;9;"polyamine biosynthetic process";"BP";1;1
"GO:0050919";"GO:0050919";0,047791749068999;0,998990075274276;1;8;"negative chemotaxis";"BP";1;1
"GO:0000220";"GO:0000220";0,0478824880515407;0,998986200729631;1;8;"vacuolar proton-transporting V-type ATPase, V0 domain";"CC";1;1
"GO:0019432";"GO:0019432";0,0480409781860386;0,998963452659456;1;9;"triglyceride biosynthetic process";"BP";1;1
"GO:0004497";"GO:0004497";0,0484087829223153;0,99088105337757;3;153;"monooxygenase activity";"MF";1;1
"GO:0005575";"GO:0005575";0,0493431795731001;0,974091565842073;15;1896;"cellular_component";"CC";1;1
"GO:0031901";"GO:0031901";0,0493581395716141;0,99889180239012;1;10;"early endosome membrane";"CC";1;1
"GO:0008199";"GO:0008199";0,0494836632978683;0,998857991493176;1;13;"ferric iron binding";"MF";1;1
"GO:0016714";"GO:0016714";0,0496283910801902;0,998879517874743;1;10;"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen";"MF";1;1
